CVE, V3 Score, V3 Vector, V2 Score, V2 Vector
CVE-2021-42278,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,6.5 MEDIUM,(AV:N/AC:L/Au:S/C:P/I:P/A:P)
CVE-2021-30665,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2018-7600,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2016-6277,8.8 HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2021-37975,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2009-3953,N/A,N/A,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2020-1350,10.0 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2020-0968,7.5 HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,7.6 HIGH,(AV:N/AC:H/Au:N/C:C/I:C/A:C)
CVE-2019-0863,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2018-5002,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2019-5591,6.5 MEDIUM,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.3 LOW,(AV:A/AC:L/Au:N/C:P/I:N/A:N)
CVE-2018-20753,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2019-12989,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2022-23131,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,5.1 MEDIUM,(AV:N/AC:H/Au:N/C:P/I:P/A:P)
CVE-2014-4113,N/A,N/A,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2020-5902,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2020-8515,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2021-26084,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2019-15271,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,9.0 HIGH,(AV:N/AC:L/Au:S/C:C/I:C/A:C)
CVE-2020-1472,10.0 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2020-3837,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2012-1856,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2021-30632,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2015-2360,N/A,N/A,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2015-2502,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2009-2055,N/A,N/A,4.3 MEDIUM,(AV:N/AC:M/Au:N/C:N/I:N/A:P)
CVE-2019-8506,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2020-17087,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2020-7961,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2018-0155,8.6 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:N/A:H,7.8 HIGH,(AV:N/AC:L/Au:N/C:N/I:N/A:C)
CVE-2021-27065,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2015-0310,N/A,N/A,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2021-35247,5.3 MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,5.0 MEDIUM,(AV:N/AC:L/Au:N/C:N/I:P/A:N)
CVE-2020-8816,7.2 HIGH,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,6.5 MEDIUM,(AV:N/AC:L/Au:S/C:P/I:P/A:P)
CVE-2020-8599,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2021-30807,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2019-0903,8.8 HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2021-42237,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
